دانا,را
ندانم,از
از,چه
چه,سبب
سبب,رنگ
رنگ,آشنایی
آشنایی,نیست
نیست,سهی
سهی,قدان
قدان,سیه
سیه,چشم
چشم,ماه
ماه,سیما
سیما,را
چو,با
با,حبیب
حبیب,نشینی
نشینی,و
و,باده
باده,پیمایی
پیمایی,به
به,یاد
یاد,دار
دار,محبان
محبان,بادپیما
بادپیما,را
جز,این
این,قدر
قدر,نتوان
نتوان,گفت
گفت,در
در,جمال
جمال,تو
تو,عیب
عیب,که
که,وضع
وضع,مهر
مهر,و
و,وفا
وفا,نیست
نیست,روی
روی,زیبا
زیبا,را
در,آسمان
آسمان,نه
نه,عجب
عجب,گر
گر,به
به,گفته
گفته,حافظ
حافظ,سرود
سرود,زهره
زهره,به
به,رقص
رقص,آورد
آورد,مسیحا
مسیحا,را
دل,میرود
میرود,ز
ز,دستم
دستم,صاحب
صاحب,دلان
دلان,خدا
خدا,را
را,دردا
دردا,که
که,راز
راز,پنهان
پنهان,خواهد
خواهد,شد
شد,آشکارا
کشتی,شکستگانیم
شکستگانیم,ای
ای,باد
باد,شرطه
شرطه,برخیز
برخیز,باشد
باشد,که
که,بازبینم
بازبینم,دیدار
دیدار,آشنا
آشنا,را
ده,روزه
روزه,مهر
مهر,گردون
گردون,افسانه
افسانه,است
است,و
و,افسون
افسون,نیکی
نیکی,به
به,جای
جای,یاران
یاران,فرصت
فرصت,شمار
شمار,یارا
در,حلقه
حلقه,گل
گل,و
و,مل
مل,خوش
خوش,خواند
خواند,دوش
دوش,بلبل
بلبل,هات
هات,الصبوح
الصبوح,هبوا
هبوا,یا
یا,ایها
ایها,السکارا
ای,صاحب
صاحب,کرامت
کرامت,شکرانه
شکرانه,سلامت
سلامت,روزی
روزی,تفقدی
تفقدی,کن
کن,درویش
درویش,بینوا
بینوا,را
آسایش,دو
دو,گیتی
گیتی,تفسیر
تفسیر,این
این,دو
دو,حرف
حرف,است
است,با
با,دوستان
دوستان,مروت
مروت,با
با,دشمنان
دشمنان,مدارا
در,کوی
کوی,نیک
نیک,نامی
نامی,ما
ما,را
را,گذر
گذر,ندادند
ندادند,گر
گر,تو
تو,نمیپسندی
نمیپسندی,تغییر
تغییر,کن
کن,قضا
قضا,را
آن,تلخ
تلخ,وش
وش,که
که,صوفی
صوفی,ام
ام,الخبائثش
الخبائثش,خواند
خواند,اشهی
اشهی,لنا
لنا,و
و,احلی
احلی,من
من,قبله
قبله,العذارا
هنگام,تنگدستی
تنگدستی,در
در,عیش
عیش,کوش
کوش,و
و,مستی
مستی,کاین
کاین,کیمیای
کیمیای,هستی
هستی,قارون
قارون,کند
کند,گدا
گدا,را
سرکش,مشو
مشو,که
که,چون
چون,شمع
شمع,از
از,غیرتت
غیرتت,بسوزد
بسوزد,دلبر
دلبر,که
که,در
در,کف
کف,او
او,موم
