SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,EdgeCount,Indegree,IsSingleNode,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,Outdegree,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
6551,3.9389752,4.10E-07,0.25387314,0.5,2,12,2,1,FALSE,اندامم,399.5,2,0,1,0,0.86035841,FALSE,0,اندامم,929,0.50762389
6552,3.0581066,4.90E-07,0.32699972,0.4,6,11,6,2,FALSE,تیغی,882.2,6,0,4,1,0.8805759,FALSE,0,تیغی,1052,0.26532331
6553,3.93888937,0,0.25387867,0.5,2,12,2,1,FALSE,خامم,292.5,2,0,1,0,0.85823901,FALSE,0,خامم,0,0.51225919
6554,3.46399451,9.00E-08,0.28868406,0,2,11,2,1,FALSE,پختگان,227,2,0,1,0,0.8558866,FALSE,0,پختگان,385,0.53301887
6555,3.16479272,0,0.31597646,1,2,11,2,1,FALSE,آتشگون,1109.5,2,0,1,0,0.87227031,FALSE,0,آتشگون,0,0.52508282
6556,3.93888937,4.00E-08,0.25387867,0,2,12,2,1,FALSE,سرانجامم,27.5,2,0,1,0,0.83964714,FALSE,0,سرانجامم,53,0.53
6557,3.93888937,6.00E-08,0.25387867,0,2,12,2,1,FALSE,آشامم,30.5,2,0,1,0,0.83364958,FALSE,0,آشامم,38,0.51754386
6558,3.1327783,2.38E-06,0.31920548,0.2,6,11,6,3,FALSE,چالاک,542.6,6,0,3,1,0.87444518,FALSE,0,چالاک,20614,0.22837895
6559,3.50390524,1.99E-06,0.28539585,0.1,5,11,5,3,FALSE,ادراک,172,5,0,2,0,0.85933755,FALSE,0,ادراک,3431,0.23442623
6560,3.33233199,4.30E-07,0.30009015,0.5,2,11,2,1,FALSE,آهیش,668.5,2,0,1,0,0.86590102,FALSE,0,آهیش,974,0.50682335
6561,3.33230347,0,0.30009272,0,1,11,1,0,FALSE,غسل,1311,1,0,1,0,0.86579006,FALSE,0,غسل,0,0
6562,3.95339456,4.80E-07,0.25294718,0,2,12,2,1,FALSE,املاک,669.5,2,0,1,0,0.86599534,FALSE,0,املاک,1635,0.50414781
6563,3.66741052,1.72E-06,0.27267196,0.5,4,12,4,2,FALSE,ثباتی,591.5,4,0,2,0,0.87289725,FALSE,0,ثباتی,3838,0.2709574
6564,4.00403399,2.60E-07,0.24974813,0,2,12,2,1,FALSE,مزرعه,444,2,0,1,0,0.86079672,FALSE,0,مزرعه,499,0.50802752
6565,3.95339456,8.07E-05,0.25294718,0,3,12,3,2,FALSE,تریاک,13.66666667,3,0,1,0,0.82664225,FALSE,0,تریاک,58645,0.35185185
6566,4.95305124,2.13E-05,0.20189575,0,2,13,2,1,FALSE,شفاخانه,845.5,2,0,1,0,0.86878606,FALSE,0,شفاخانه,19144,0.50029621
6567,3.36357394,0,0.29730281,1,2,11,2,1,FALSE,بخست,1347.5,2,0,1,0,0.87386818,FALSE,0,بخست,0,0.59809143
6568,2.98146082,5.83E-05,0.33540605,0.3128655,20,11,20,10,FALSE,مار,544.6842105,20,0,10,1,0.89445739,FALSE,0,مار,378071,0.09902392
6569,3.2966269,1.37E-06,0.30334036,0.25,6,11,6,3,FALSE,غلغله,312.6,6,0,3,1,0.8668775,FALSE,0,غلغله,4217,0.21953619
6570,3.43738735,1.20E-06,0.29091862,0,4,11,4,2,FALSE,خاموشان,148.5,4,0,2,0,0.856336,FALSE,0,خاموشان,1084,0.25696864
6571,3.15440735,8.12E-05,0.31701676,0.26666667,8,11,8,4,FALSE,پیشتر,516.5,8,0,4,1,0.87608189,FALSE,0,پیشتر,54174,0.19920267
6572,3.95339456,0,0.25294718,0.5,2,12,2,1,FALSE,طربناک,94.5,2,0,1,0,0.85048824,FALSE,0,طربناک,0,0.51358696
6573,4.34451978,2.00E-08,0.23017504,0,2,12,2,1,FALSE,محن,16,2,0,1,0,0.83458167,FALSE,0,محن,5,0.5
6574,3.32778302,0,0.30050036,1,2,11,2,1,FALSE,وفاتم,898,2,0,1,0,0.86916334,FALSE,0,وفاتم,0,0.51817657
6575,3.15466484,0,0.31699089,1,3,11,3,1,FALSE,مهل,1192.333333,3,0,2,0,0.87848424,FALSE,0,مهل,0,0.39625568
6576,3.69805167,4.19E-05,0.27041266,0.16666667,4,11,4,2,FALSE,گلچهر,57.66666667,4,0,2,1,0.84031292,FALSE,0,گلچهر,90041,0.33925049
6577,4.5947129,5.75E-06,0.21764145,0,2,12,2,1,FALSE,نیمشب,847.5,2,0,1,0,0.86878606,FALSE,0,نیمشب,5394,0.50148104
6578,3.45232169,1.30E-07,0.28966014,0,2,11,2,1,FALSE,برگشتهام,570,2,0,1,0,0.86418109,FALSE,0,برگشتهام,446,0.51261261
6579,3.22822075,2.80E-07,0.30976816,0.66666667,4,11,4,2,FALSE,درافکن,882.5,4,0,2,0,0.87658123,FALSE,0,درافکن,1633,0.32090909
6580,3.82585186,1.82E-06,0.2613797,0.16666667,4,12,4,2,FALSE,شاب,909.6666667,4,0,2,1,0.8760486,FALSE,0,شاب,5180,0.33791651
6581,3.81683976,0,0.26199685,0.5,2,11,2,1,FALSE,شط,705.5,2,0,1,0,0.86637261,FALSE,0,شط,0,0.51836885
6582,3.6165136,1.70E-07,0.2765094,0,2,12,2,1,FALSE,بپوید,263.5,2,0,1,0,0.85694629,FALSE,0,بپوید,787,0.5480167
